114. 87 animals, 10 plants, 21 avg. energy, 27 avg. life time, 2 avg. childs
115. 86 animals, 9 plants, 21 avg. energy, 28 avg. life time, 2 avg. childs
116. 83 animals, 9 plants, 21 avg. energy, 26 avg. life time, 2 avg. childs
117. 81 animals, 10 plants, 21 avg. energy, 25 avg. life time, 2 avg. childs
118. 81 animals, 11 plants, 20 avg. energy, 25 avg. life time, 2 avg. childs
119. 80 animals, 9 plants, 21 avg. energy, 24 avg. life time, 2 avg. childs
120. 78 animals, 10 plants, 20 avg. energy, 24 avg. life time, 2 avg. childs
121. 73 animals, 10 plants, 21 avg. energy, 25 avg. life time, 2 avg. childs
122. 67 animals, 9 plants, 24 avg. energy, 25 avg. life time, 2 avg. childs
123. 67 animals, 8 plants, 24 avg. energy, 25 avg. life time, 2 avg. childs
124. 65 animals, 8 plants, 24 avg. energy, 25 avg. life time, 2 avg. childs
125. 64 animals, 6 plants, 25 avg. energy, 25 avg. life time, 2 avg. childs
126. 64 animals, 7 plants, 24 avg. energy, 25 avg. life time, 2 avg. childs
127. 63 animals, 7 plants, 25 avg. energy, 27 avg. life time, 2 avg. childs
128. 62 animals, 8 plants, 24 avg. energy, 28 avg. life time, 2 avg. childs
129. 60 animals, 5 plants, 26 avg. energy, 28 avg. life time, 2 avg. childs
130. 60 animals, 6 plants, 25 avg. energy, 28 avg. life time, 2 avg. childs
131. 55 animals, 7 plants, 27 avg. energy, 28 avg. life time, 2 avg. childs
132. 55 animals, 5 plants, 28 avg. energy, 28 avg. life time, 2 avg. childs
133. 52 animals, 5 plants, 29 avg. energy, 28 avg. life time, 2 avg. childs
134. 52 animals, 5 plants, 29 avg. energy, 28 avg. life time, 2 avg. childs
135. 47 animals, 6 plants, 31 avg. energy, 28 avg. life time, 2 avg. childs
136. 48 animals, 6 plants, 31 avg. energy, 28 avg. life time, 2 avg. childs
137. 49 animals, 5 plants, 31 avg. energy, 28 avg. life time, 2 avg. childs
138. 47 animals, 5 plants, 32 avg. energy, 27 avg. life time, 2 avg. childs
139. 51 animals, 6 plants, 28 avg. energy, 27 avg. life time, 2 avg. childs
140. 52 animals, 6 plants, 28 avg. energy, 27 avg. life time, 2 avg. childs
141. 53 animals, 5 plants, 28 avg. energy, 27 avg. life time, 2 avg. childs
142. 52 animals, 6 plants, 27 avg. energy, 27 avg. life time, 2 avg. childs
143. 54 animals, 7 plants, 25 avg. energy, 27 avg. life time, 2 avg. childs
144. 54 animals, 6 plants, 26 avg. energy, 27 avg. life time, 2 avg. childs
145. 54 animals, 7 plants, 25 avg. energy, 27 avg. life time, 2 avg. childs
146. 54 animals, 7 plants, 25 avg. energy, 28 avg. life time, 2 avg. childs
147. 55 animals, 6 plants, 25 avg. energy, 28 avg. life time, 2 avg. childs
148. 59 animals, 7 plants, 22 avg. energy, 28 avg. life time, 2 avg. childs
149. 59 animals, 7 plants, 22 avg. energy, 28 avg. life time, 2 avg. childs
150. 61 animals, 8 plants, 20 avg. energy, 28 avg. life time, 2 avg. childs
151. 60 animals, 9 plants, 19 avg. energy, 28 avg. life time, 2 avg. childs
152. 58 animals, 10 plants, 19 avg. energy, 28 avg. life time, 2 avg. childs
153. 57 animals, 10 plants, 19 avg. energy, 28 avg. life time, 2 avg. childs
154. 56 animals, 11 plants, 18 avg. energy, 28 avg. life time, 2 avg. childs
155. 56 animals, 11 plants, 18 avg. energy, 28 avg. life time, 2 avg. childs
156. 55 animals, 7 plants, 21 avg. energy, 28 avg. life time, 2 avg. childs
157. 53 animals, 7 plants, 22 avg. energy, 28 avg. life time, 2 avg. childs
158. 55 animals, 7 plants, 21 avg. energy, 28 avg. life time, 2 avg. childs
159. 55 animals, 8 plants, 20 avg. energy, 28 avg. life time, 2 avg. childs
160. 53 animals, 9 plants, 19 avg. energy, 28 avg. life time, 2 avg. childs
161. 53 animals, 9 plants, 19 avg. energy, 28 avg. life time, 2 avg. childs
162. 51 animals, 9 plants, 20 avg. energy, 28 avg. life time, 2 avg. childs
163. 51 animals, 9 plants, 20 avg. energy, 28 avg. life time, 2 avg. childs
164. 53 animals, 9 plants, 19 avg. energy, 28 avg. life time, 2 avg. childs
165. 51 animals, 10 plants, 18 avg. energy, 28 avg. life time, 2 avg. childs
166. 50 animals, 11 plants, 18 avg. energy, 28 avg. life time, 2 avg. childs
167. 48 animals, 12 plants, 18 avg. energy, 28 avg. life time, 2 avg. childs
168. 46 animals, 13 plants, 17 avg. energy, 28 avg. life time, 2 avg. childs
169. 40 animals, 14 plants, 19 avg. energy, 28 avg. life time, 2 avg. childs
170. 40 animals, 14 plants, 19 avg. energy, 28 avg. life time, 2 avg. childs
171. 40 animals, 15 plants, 18 avg. energy, 28 avg. life time, 2 avg. childs
172. 38 animals, 16 plants, 18 avg. energy, 29 avg. life time, 2 avg. childs
173. 35 animals, 16 plants, 20 avg. energy, 29 avg. life time, 2 avg. childs
174. 35 animals, 17 plants, 19 avg. energy, 29 avg. life time, 2 avg. childs
175. 35 animals, 18 plants, 18 avg. energy, 29 avg. life time, 2 avg. childs
176. 33 animals, 18 plants, 19 avg. energy, 29 avg. life time, 2 avg. childs
177. 32 animals, 19 plants, 19 avg. energy, 29 avg. life time, 2 avg. childs
178. 30 animals, 19 plants, 20 avg. energy, 30 avg. life time, 2 avg. childs
179. 29 animals, 19 plants, 21 avg. energy, 30 avg. life time, 2 avg. childs
180. 29 animals, 20 plants, 21 avg. energy, 30 avg. life time, 2 avg. childs
181. 29 animals, 20 plants, 21 avg. energy, 30 avg. life time, 2 avg. childs
