155. 2 animals, 98 plants, 128 avg. energy, 61 avg. life time, 1 avg. childs
156. 2 animals, 98 plants, 127 avg. energy, 61 avg. life time, 1 avg. childs
157. 2 animals, 98 plants, 131 avg. energy, 61 avg. life time, 1 avg. childs
158. 2 animals, 98 plants, 130 avg. energy, 61 avg. life time, 1 avg. childs
159. 2 animals, 98 plants, 129 avg. energy, 61 avg. life time, 1 avg. childs
160. 2 animals, 98 plants, 128 avg. energy, 61 avg. life time, 1 avg. childs
161. 2 animals, 98 plants, 132 avg. energy, 61 avg. life time, 1 avg. childs
162. 2 animals, 98 plants, 136 avg. energy, 61 avg. life time, 1 avg. childs
163. 2 animals, 98 plants, 140 avg. energy, 61 avg. life time, 1 avg. childs
164. 2 animals, 98 plants, 144 avg. energy, 61 avg. life time, 1 avg. childs
165. 2 animals, 98 plants, 148 avg. energy, 61 avg. life time, 1 avg. childs
166. 2 animals, 98 plants, 147 avg. energy, 61 avg. life time, 1 avg. childs
167. 2 animals, 98 plants, 146 avg. energy, 61 avg. life time, 1 avg. childs
168. 2 animals, 98 plants, 150 avg. energy, 61 avg. life time, 1 avg. childs
169. 2 animals, 98 plants, 149 avg. energy, 61 avg. life time, 1 avg. childs
170. 2 animals, 98 plants, 148 avg. energy, 61 avg. life time, 1 avg. childs
171. 2 animals, 98 plants, 147 avg. energy, 61 avg. life time, 1 avg. childs
172. 2 animals, 98 plants, 151 avg. energy, 61 avg. life time, 1 avg. childs
173. 2 animals, 97 plants, 160 avg. energy, 61 avg. life time, 1 avg. childs
174. 2 animals, 98 plants, 159 avg. energy, 61 avg. life time, 1 avg. childs
175. 2 animals, 98 plants, 163 avg. energy, 61 avg. life time, 1 avg. childs
176. 2 animals, 98 plants, 162 avg. energy, 61 avg. life time, 1 avg. childs
177. 2 animals, 98 plants, 166 avg. energy, 61 avg. life time, 1 avg. childs
178. 2 animals, 98 plants, 170 avg. energy, 61 avg. life time, 1 avg. childs
179. 2 animals, 98 plants, 174 avg. energy, 61 avg. life time, 1 avg. childs
180. 2 animals, 98 plants, 178 avg. energy, 61 avg. life time, 1 avg. childs
